City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Carballo,ES,2022-04-10 15:01:41,43.213,-8.691,73.42,60,59,7.09
261,Conceicao Do Araguaia,BR,2022-04-10 15:01:41,-8.2578,-49.2647,86.09,65,100,4.27
262,Sola,VU,2022-04-10 15:01:17,-13.8833,167.55,81.41,78,56,9.75
263,Juegang,CN,2022-04-10 15:01:42,32.3174,121.1855,58.3,94,4,9.35
264,Ust-Kuyga,RU,2022-04-10 15:01:42,70.0167,135.6,-13.49,99,93,1.5
265,Semey,KZ,2022-04-10 15:01:42,50.4111,80.2275,42.04,49,0,7.49
266,Coldstream,GB,2022-04-10 15:01:43,55.6511,-2.2529,54.75,46,100,3.62
267,Asau,RO,2022-04-10 15:00:27,46.4333,26.4,39.96,99,100,7.29
268,Pontiac,US,2022-04-10 14:59:12,42.6389,-83.2911,43.72,58,0,6.91
269,Kaeo,NZ,2022-04-10 15:01:43,-35.1,173.7833,55.33,93,33,5.19
270,Bambanglipuro,ID,2022-04-10 15:02:44,-7.95,110.2833,77.5,86,97,2.55
271,Road Town,VG,2022-04-10 15:00:27,18.4167,-64.6167,82.99,73,24,14.79
272,Klyuchi,RU,2022-04-10 15:02:44,52.2667,79.1667,36.9,59,0,7.58
273,Port-Gentil,GA,2022-04-10 15:02:44,-0.7193,8.7815,80.56,79,100,8.52
274,Saint George,US,2022-04-10 15:02:45,37.1041,-113.5841,55.63,14,0,8.05
275,Jiayuguan,CN,2022-04-10 15:02:45,39.8167,98.3,45.36,40,86,6.98
276,Nargana,PA,2022-04-10 15:02:45,9.4428,-78.5906,81.36,74,89,15.32
277,Hambantota,LK,2022-04-10 15:02:46,6.1241,81.1185,80.94,89,40,5.75
278,Ponta Do Sol,PT,2022-04-10 15:02:46,32.6667,-17.1,70.72,75,52,13.8
279,Callaguip,PH,2022-04-10 15:02:46,18.0714,120.4867,80.85,76,97,3.31
280,Vilyuysk,RU,2022-04-10 15:02:46,63.7553,121.6247,-0.11,100,73,2.93
281,Moron,AR,2022-04-10 15:02:47,-34.6534,-58.6198,79.81,71,0,8.66
282,Xining,CN,2022-04-10 15:02:47,36.6167,101.7667,58.84,14,100,12.28
283,Charcas,MX,2022-04-10 15:02:47,23.1333,-101.1167,64.22,44,11,6.11
284,Louis Trichardt,ZA,2022-04-10 15:00:40,-23.0439,29.9032,66.63,62,94,7.56
285,Mount Isa,AU,2022-04-10 14:54:44,-20.7333,139.5,85.77,28,50,6.91
286,Macrohon,PH,2022-04-10 15:02:48,10.0797,124.9431,77.67,87,100,21.03
287,Caborca,MX,2022-04-10 15:02:48,30.5838,-111.101,68.5,38,0,14.9
288,Kodinsk,RU,2022-04-10 15:02:23,58.6881,99.1844,22.19,94,51,1.39
289,Launceston,AU,2022-04-10 15:02:49,-41.45,147.1667,61.16,89,75,9.22
290,Puerto Suarez,BO,2022-04-10 15:02:49,-18.95,-57.8,97.34,35,1,8.43
291,Chengdu,CN,2022-04-10 14:59:27,30.6667,104.0667,73.29,56,0,2.24
292,Yilan,TW,2022-04-10 15:01:52,24.757,121.753,77.02,99,1,1.74
293,Ancud,CL,2022-04-10 15:02:44,-41.8697,-73.8203,51.22,83,99,0.34
